Date : 2023-11-06 17:05:15
Directory : c:\Users\carso\GitHub\Website\static
Total : 284 files,  58591 codes, 8843 comments, 12634 blanks, all 80068 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\jquery\jquery.min.js                     | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\LICENSE.f94142512c91.md          | Markdown   |         17 |          0 |          5 |         22 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\LICENSE.md                       | Markdown   |         17 |          0 |          5 |         22 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\af.4f6fcd73488c.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\af.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ar.65aa8e36bf5d.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ar.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\az.270c257daf81.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\az.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bg.39b8be30d4f0.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bg.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bn.6d42b4dd5665.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bn.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bs.91624382358e.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bs.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ca.a166b745933a.js          | JavaScript |          1 |          1 |          1 |          3 |
