"filename", "language", "JavaScript", "CSS", "JSON", "XML", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\carso\GitHub\Website\static\admin\img\sorting-icons.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\carso\GitHub\Website\static\admin\img\tooltag-add.e59d620a9742.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\tooltag-add.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\tooltag-arrowright.bbfb788a849e.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\carso\GitHub\Website\static\admin\js\SelectBox.7d3ce5a98007.js", "JavaScript", 111, 0, 0, 0, 0, 0, 5, 1, 117
"c:\Users\carso\GitHub\Website\static\admin\js\SelectBox.js", "JavaScript", 111, 0, 0, 0, 0, 0, 5, 1, 117
"c:\Users\carso\GitHub\Website\static\admin\js\SelectFilter2.bdb8d0cc579e.js", "JavaScript", 234, 0, 0, 0, 0, 0, 26, 24, 284
"c:\Users\carso\GitHub\Website\static\admin\js\SelectFilter2.js", "JavaScript", 234, 0, 0, 0, 0, 0, 26, 24, 284
"c:\Users\carso\GitHub\Website\static\admin\js\actions.eac7e3441574.js", "JavaScript", 174, 0, 0, 0, 0, 0, 7, 21, 202
"c:\Users\carso\GitHub\Website\static\admin\js\actions.js", "JavaScript", 174, 0, 0, 0, 0, 0, 7, 21, 202
"c:\Users\carso\GitHub\Website\static\admin\js\admin\DateTimeShortcuts.9f6e209cebca.js", "JavaScript", 317, 0, 0, 0, 0, 0, 65, 27, 409
"c:\Users\carso\GitHub\Website\static\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 317, 0, 0, 0, 0, 0, 65, 27, 409
"c:\Users\carso\GitHub\Website\static\admin\js\admin\RelatedObjectLookups.8609f99b9ab2.js", "JavaScript", 203, 0, 0, 0, 0, 0, 13, 23, 239
"c:\Users\carso\GitHub\Website\static\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 203, 0, 0, 0, 0, 0, 13, 23, 239
"c:\Users\carso\GitHub\Website\static\admin\js\autocomplete.01591ab27be7.js", "JavaScript", 28, 0, 0, 0, 0, 0, 2, 4, 34
"c:\Users\carso\GitHub\Website\static\admin\js\autocomplete.js", "JavaScript", 28, 0, 0, 0, 0, 0, 2, 4, 34
"c:\Users\carso\GitHub\Website\static\admin\js\calendar.f8a5d055eb33.js", "JavaScript", 178, 0, 0, 0, 0, 0, 28, 16, 222
"c:\Users\carso\GitHub\Website\static\admin\js\calendar.js", "JavaScript", 178, 0, 0, 0, 0, 0, 28, 16, 222
"c:\Users\carso\GitHub\Website\static\admin\js\cancel.ecc4c5ca7b32.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\carso\GitHub\Website\static\admin\js\cancel.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\carso\GitHub\Website\static\admin\js\change_form.9d8ca4f96b75.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 1, 17
"c:\Users\carso\GitHub\Website\static\admin\js\change_form.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 1, 17
"c:\Users\carso\GitHub\Website\static\admin\js\collapse.f84e7410290f.js", "JavaScript", 37, 0, 0, 0, 0, 0, 6, 1, 44
"c:\Users\carso\GitHub\Website\static\admin\js\collapse.js", "JavaScript", 37, 0, 0, 0, 0, 0, 6, 1, 44
"c:\Users\carso\GitHub\Website\static\admin\js\core.cf103cd04ebf.js", "JavaScript", 136, 0, 0, 0, 0, 0, 19, 16, 171
"c:\Users\carso\GitHub\Website\static\admin\js\core.js", "JavaScript", 136, 0, 0, 0, 0, 0, 19, 16, 171
"c:\Users\carso\GitHub\Website\static\admin\js\filters.0e360b7a9f80.js", "JavaScript", 20, 0, 0, 0, 0, 0, 6, 5, 31
"c:\Users\carso\GitHub\Website\static\admin\js\filters.js", "JavaScript", 20, 0, 0, 0, 0, 0, 6, 5, 31
"c:\Users\carso\GitHub\Website\static\admin\js\inlines.22d4d93c00b4.js", "JavaScript", 272, 0, 0, 0, 0, 0, 61, 27, 360
"c:\Users\carso\GitHub\Website\static\admin\js\inlines.js", "JavaScript", 272, 0, 0, 0, 0, 0, 61, 27, 360
"c:\Users\carso\GitHub\Website\static\admin\js\jquery.init.b7781a0897fc.js", "JavaScript", 2, 0, 0, 0, 0, 0, 6, 1, 9
"c:\Users\carso\GitHub\Website\static\admin\js\jquery.init.js", "JavaScript", 2, 0, 0, 0, 0, 0, 6, 1, 9
"c:\Users\carso\GitHub\Website\static\admin\js\nav_sidebar.3b9190d420b1.js", "JavaScript", 73, 0, 0, 0, 0, 0, 1, 6, 80
"c:\Users\carso\GitHub\Website\static\admin\js\nav_sidebar.js", "JavaScript", 73, 0, 0, 0, 0, 0, 1, 6, 80
"c:\Users\carso\GitHub\Website\static\admin\js\popup_response.c6cc78ea5551.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\carso\GitHub\Website\static\admin\js\popup_response.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\carso\GitHub\Website\static\admin\js\prepopulate.bd2361dfd64d.js", "JavaScript", 29, 0, 0, 0, 0, 0, 10, 5, 44
"c:\Users\carso\GitHub\Website\static\admin\js\prepopulate.js", "JavaScript", 29, 0, 0, 0, 0, 0, 10, 5, 44
"c:\Users\carso\GitHub\Website\static\admin\js\prepopulate_init.6cac7f3105b8.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\carso\GitHub\Website\static\admin\js\prepopulate_init.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\carso\GitHub\Website\static\admin\js\theme.ab270f56bb9c.js", "JavaScript", 46, 0, 0, 0, 0, 0, 4, 7, 57
"c:\Users\carso\GitHub\Website\static\admin\js\theme.js", "JavaScript", 46, 0, 0, 0, 0, 0, 4, 7, 57
"c:\Users\carso\GitHub\Website\static\admin\js\urlify.ae970a820212.js", "JavaScript", 159, 0, 0, 0, 0, 0, 5, 6, 170
"c:\Users\carso\GitHub\Website\static\admin\js\urlify.js", "JavaScript", 159, 0, 0, 0, 0, 0, 5, 6, 170
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\jquery\jquery.0208b96062ba.js", "JavaScript", 6913, 0, 0, 0, 0, 0, 1962, 2091, 10966
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\jquery\jquery.js", "JavaScript", 6913, 0, 0, 0, 0, 0, 1962, 2091, 10966
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\jquery\jquery.min.641dd1437010.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\LICENSE.f94142512c91.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\af.4f6fcd73488c.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\af.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ar.65aa8e36bf5d.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\az.270c257daf81.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\az.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bg.39b8be30d4f0.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bn.6d42b4dd5665.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bs.91624382358e.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\bs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ca.a166b745933a.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ca.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\cs.4f43e8e7d33a.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\cs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\da.766346afe4dd.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\da.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\de.8a1c222b0204.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\de.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\dsb.56372c92d2f1.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\dsb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\el.27097f071856.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\el.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\en.cf932ba09a98.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\en.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\es.66dbc2652fb1.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\es.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
