"filename", "language", "Python", "CSS", "XML", "JavaScript", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\carso\GitHub\Website\static\admin\img\icon-alert.034cc7d8a67f.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-alert.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-calendar.ac7aea671bea.svg", "XML", 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\carso\GitHub\Website\static\admin\img\icon-calendar.svg", "XML", 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\carso\GitHub\Website\static\admin\img\icon-changelink.18d2fd706348.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-changelink.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-clock.e1d4dfac3f2b.svg", "XML", 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\carso\GitHub\Website\static\admin\img\icon-clock.svg", "XML", 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\carso\GitHub\Website\static\admin\img\icon-deletelink.564ef9dc3854.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-deletelink.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-no.439e821418cd.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-no.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown-alt.81536e128bb6.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown-alt.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown.a18cb4398978.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
